ceo,name,country,founded,employees,industry
,berkshire hathaway,united states,,,
,icbc,china,,,
,saudi arabian oil company (saudi aramco),saudi arabia,,,
,jpmorgan chase,united states,,,
,china construction bank,china,,,
,amazon,united states,,,
,apple,united states,,,
,agricultural bank of china,china,,,
,bank of america,united states,,,
,toyota motor,japan,,,
,alphabet,united states,,,
,microsoft,united states,,,
,bank of china,china,,,
,samsung group,south korea,,,
,exxonmobil,united states,,,
,shell,united kingdom,,,
,ping an insurance group,china,,,
,wells fargo,united states,,,
,verizon communications,united states,,,
,at&t,united states,,,
,petrochina,china,,,
,unitedhealth group,united states,,,
,walmart,united states,,,
,china merchants bank,china,,,
,volkswagen group,germany,,,
,chevron,united states,,,
,citigroup,united states,,,
,tencent holdings,china,,,
,total,france,,,
,postal savings bank of china (psbc),china,,,
,china mobile,hong kong,,,
,comcast,united states,,,
,alibaba group,china,,,
,meta platforms,united states,,,
,allianz,germany,,,
,morgan stanley,united states,,,
,goldman sachs group,united states,,,
,hsbc holdings,united kingdom,,,
,bnp paribas,france,,,
,johnson & johnson,united states,,,
,mercedes-benz group,germany,,,
,cvs health,united states,,,
,pfizer,united states,,,
,softbank,japan,,,
,sinopec,china,,,
,rbc,canada,,,
,nestlé,switzerland,,,
,axa group,france,,,
,gazprom,russia,,,
,bp,united kingdom,,,
,intel,united states,,,
,td bank group,canada,,,
,nippon telegraph & tel,japan,,,
,reliance industries,india,,,
,industrial bank,china,,,
,sony,japan,,,
,santander,spain,,,
,mitsubishi ufj financial,japan,,,
,taiwan semiconductor,taiwan,,,
,ford motor,canada,,,
,lvmh moët hennessy louis vuitton,france,,,
,bank of communications,china,,,
,procter & gamble,united states,,,
,bmw group,germany,,,
,petrobras,brazil,,,
,deutsche telekom,germany,,,
,abbvie,united states,,,
,novartis,switzerland,,,
,general motors,united states,,,
,equinor,norway,,,
,china life insurance,china,,,
,roche holding,switzerland,,,
,aia group,hong kong,,,
,metlife,united states,,,
,bhp group,australia,,,
,the home depot,canada,,,
,american express,united states,,,
,siemens,germany,,,
,stellantis,netherlands,,,
,zurich insurance group,switzerland,,,
,rosneft,russia,,,
,rio tinto,united kingdom,,,
,brookfield asset management,canada,,,
,cigna,united states,,,
,prudential financial,united states,,,
,pepsico,united states,,,
,merck & co.,united states,,,
,elevance health,united states,,,
,bank of nova scotia,canada,,,
,american international group,united states,,,
,glencore international,switzerland,,,
,cisco systems,united states,,,
,anheuser-busch inbev,belgium,,,
,walt disney,united states,,,
,chubb,switzerland,,,
,citic,hong kong,,,
,lloyds banking group,united kingdom,,,
,ibm,united states,,,
,sanofi,france,,,
,united parcel service,united states,,,
,british american tobacco,united kingdom,,,
,ubs,switzerland,,,
,honda motor,japan,,,
,mitsubishi,japan,,,
,china state construction engineering,china,,,
,state bank of india,india,,,
,commonwealth bank,australia,,,
,shanghai pudong development,china,,,
,raytheon technologies,united states,,,
,enel,italy,,,
,eni,italy,,,
,capital one,united states,,,
,bristol myers squibb,united states,,,
,coca-cola,united states,,,
,oracle,united states,,,
,sberbank,russia,,,
,bank of montreal,canada,,,
,vale,brazil,,,
,edf,france,,,
,thermo fisher scientific,united states,,,
,credit agricole,france,,,
,airbus,netherlands,,,
,costco wholesale,united states,,,
,hon hai precision,taiwan,,,
,unilever,united kingdom,,,
,charter communications,united states,,,
,sumitomo mitsui financial,japan,,,
,conocophillips,united states,,,
,glaxosmithkline,united kingdom,,,
,intesa sanpaolo,italy,,,
,manulife,canada,,,
,us bancorp,united states,,,
,basf,germany,,,
,cnooc,hong kong,,,
,abbott laboratories,united states,,,
,iberdrola,spain,,,
,china shenhua energy,china,,,
,itaú unibanco holding,brazil,,,
,caterpillar,united states,,,
,mitsui,japan,,,
,itochu,japan,,,
,charles schwab,united states,,,
,truist financial,united states,,,
,enbridge,canada,,,
,hitachi,japan,,,
,kddi,japan,,,
,hyundai motor,south korea,,,
,china citic bank,china,,,
,visa,united states,,,
,target,united states,,,
,bbva-banco bilbao vizcaya,spain,,,
,tesla,united states,,,
,deere & company,united states,,,
,hdfc bank,india,,,
,barclays,united kingdom,,,
,munich re,germany,,,
,japan post holdings,japan,,,
,walgreens,united states,,,
,danaher,united states,,,
,generali group,italy,,,
,møller-maersk,denmark,,,
,lowe's,united states,,,
,fedex,united states,,,
,deutsche post,germany,,,
,pnc financial services,united states,,,
,broadcom,united states,,,
,lukoil,russia,,,
,medtronic,ireland,,,
,sap,germany,,,
,sk hynix,south korea,,,
,engie,france,,,
,lockheed martin,united states,,,
,blackrock,united states,,,
,westpac banking group,australia,,,
,duke energy,united states,,,
,dell technologies,united states,,,
,vinci,france,,,
,tokio marine holdings,japan,,,
,américa móvil,mexico,,,
,e.on,germany,,,
,anglo american,united kingdom,,,
,banco bradesco,brazil,,,
,ing group,netherlands,,,
,accenture,ireland,,,
,honeywell international,united states,,,
,mizuho financial,japan,,,
,linde,united kingdom,,,
,arcelormittal,luxembourg,,,
,canadian imperial bank,canada,,,
,poly developments & holdings group,china,,,
,micron technology,united states,,,
,anz,australia,,,
,fubon financial,taiwan,,,
,china telecom,china,,,
,hca healthcare,united states,,,
,dow,united states,,,
,telefónica,spain,,,
,china vanke,china,,,
,nab - national australia bank,australia,,,
,cathay financial,taiwan,,,
,qualcomm,united states,,,
,l'oréal,france,,,
,allstate,canada,,,
,saic motor,china,,,
,icici bank,india,,,
,china everbright bank,china,,,
,gilead sciences,united states,,,
,china pacific insurance,china,,,
,nvidia,united states,,,
,amgen,united states,,,
,union pacific,united states,,,
,dai-ichi life insurance,japan,,,
,nike,canada,,,
,takeda pharmaceutical,japan,,,
,philip morris international,united states,,,
,paypal,united states,,,
,china resources land,hong kong,,,
,oversea-chinese banking,singapore,,,
,midea group,china,,,
,travelers,united states,,,
,eli lilly,united states,,,
,mondelez international,united states,,,
,mcdonald's,united states,,,
,general electric,canada,,,
,société générale,france,,,
,schneider electric,france,,,
,3m,united states,,,
,aflac,united states,,,
,oil & natural gas,india,,,
,southern company,united states,,,
,deutsche bank,germany,,,
,ptt,thailand,,,
,ck hutchison,hong kong,,,
,canadian natural resources,canada,,,
,sun life financial,canada,,,
,northrop grumman,united states,,,
,archer daniels midland,united states,,,
,marathon petroleum,united states,,,
,china minsheng bank,china,,,
,legal & general group,united kingdom,,,
,netflix,united states,,,
,progressive,united states,,,
,longfor group holdings,china,,,
,dbs,singapore,,,
,cosco shipping,china,,,
,china communications construction,china,,,
,natwest group,united kingdom,,,
,exelon,united states,,,
,humana,united states,,,
,general dynamics,united states,,,
,power corp of canada,canada,,,
,qatar national bank,qatar,,,
,bayer,germany,,,
,kkr,united states,,,
,country garden holdings,china,,,
,nextera energy,united states,,,
,kb financial group,south korea,,,
,china railway group,china,,,
,hp,united states,,,
,nordea bank,finland,,,
,seven & i holdings,japan,,,
,suncor energy,canada,,,
,salesforce.com,united states,,,
,air liquide,france,,,
,denso,japan,,,
,bank of new york mellon,united states,,,
,mastercard,united states,,,
,banco do brasil,brazil,,,
,centene,united states,,,
,hdfc,india,,,
,freeport-mcmoran,united states,,,
,"merck kgaa, darmstadt, germany and its affiliates",germany,,,
,caixabank,spain,,,
,abb,switzerland,,,
,volvo group,sweden,,,
,occidental petroleum,united states,,,
,national grid,united kingdom,,,
,mckesson,united states,,,
,shinhan financial group,south korea,,,
,asml holding,netherlands,,,
,nutrien,canada,,,
,investor ab,sweden,,,
,kia,south korea,,,
,saint-gobain,france,,,
,novo nordisk,denmark,,,
,posco,south korea,,,
,diageo,united kingdom,,,
,royal ahold delhaize n.v.,netherlands,,,
,picc,china,,,
,dominion energy,united states,,,
,kroger,united states,,,
,baoshan iron & steel,china,,,
,kweichow moutai,china,,,
,xiaomi,china,,,
,bank of ningbo,china,,,
,ecopetrol,colombia,,,
,lyondellbasell industries,united kingdom,,,
,contemporary amperex technology,china,,,
,unicredit,italy,,,
,amerisourcebergen,united states,,,
,essilorluxottica,france,,,
,inditex,spain,,,
,starbucks,united states,,,
,nucor,united states,,,
,intercontinentalexchange,united states,,,
,tjx cos,united states,,,
,kbc group,belgium,,,
,tesco,united kingdom,,,
,boe technology group,china,,,
,blackstone,united states,,,
,american electric,united states,,,
,macquarie group,australia,,,
,marubeni,japan,,,
,swiss re,switzerland,,,
,eog resources,united states,,,
,cnp assurances,france,,,
,automatic data processing,united states,,,
,phillips 66,united states,,,
,tyson foods,united states,,,
,repsol,spain,,,
,sumitomo,japan,,,
,holcim,switzerland,,,
,altria group,united states,,,
,applied materials,united states,,,
,daimler truck holding,germany,,,
,zijin mining group,china,,,
,the saudi national bank,saudi arabia,,,
,richemont,switzerland,,,
,kering,france,,,
,saudi electricity,saudi arabia,,,
,danone,france,,,
,nippon steel,japan,,,
,lg chem,south korea,,,
,discover financial services,united states,,,
,couche tard,canada,,,
,huaxia bank,china,,,
,nn group,netherlands,,,
,fannie mae,united states,,,
,fresenius,germany,,,
,marsh & mclennan,united states,,,
,ameriprise financial,united states,,,
,becton dickinson,united states,,,
,panasonic,japan,,,
,ms&ad insurance,japan,,,
,orix,japan,,,
,citic securities,china,,,
,first abu dhabi bank,united arab emirates,,,
,bce,canada,,,
,schlumberger,united states,,,
,texas instruments,united states,,,
,bank rakyat indonesia (bri),indonesia,,,
,standard chartered,united kingdom,,,
,crh,ireland,,,
,bank of beijing,china,,,
,paramount,united states,,,
,bank of jiangsu,china,,,
,dupont de nemours,united states,,,
,gree electric appliances,china,,,
,indian oil,india,,,
,dollar general,united states,,,
,kraft heinz company,united states,,,
,wilmar international,singapore,,,
,freddie mac,united states,,,
,hewlett packard enterprise,united states,,,
,japan tobacco,japan,,,
,poste italiane,italy,,,
,united overseas bank,singapore,,,
,china unicom,hong kong,,,
,valero energy,united states,,,
,csx,united states,,,
,danske bank,denmark,,,
,fortescue metals group,australia,,,
,china railway construction,china,,,
,moderna,united states,,,
,woolworths,australia,,,
,anhui conch cement,china,,,
,adobe,united states,,,
,hartford financial services,united states,,,
,state street,united states,,,
,al rajhi bank,saudi arabia,,,
,power construction corporation of china,china,,,
,shin-etsu chemical,japan,,,
,fiserv,united states,,,
,regeneron pharmaceuticals,united states,,,
,eneos holdings,japan,,,
,tata consultancy services,india,,,
,sompo,japan,,,
,omv group,austria,,,
,swiss life holding,switzerland,,,
,bank of shanghai,china,,,
,american tower,united states,,,
,pioneer natural resources,united states,,,
,sun hung kai properties,hong kong,,,
,wanhua chemical group,china,,,
,sampo,finland,,,
,china merchants shekou industrial zone holdings,china,,,
,haier smart home,china,,,
,eaton,ireland,,,
,sk,south korea,,,
,johnson controls international,ireland,,,
,jbs,brazil,,,
,saudi telecom,saudi arabia,,,
,jardine matheson,bermuda,,,
,canadian national railway,canada,,,
,stryker,united states,,,
,nokia,finland,,,
,mitsubishi electric,japan,,,
,nissan motor,japan,,,
,tata steel,india,,,
,heineken,netherlands,,,
,bae systems,united kingdom,,,
,etisalat,united arab emirates,,,
,bt group,united kingdom,,,
,ctbc financial,taiwan,,,
,novatek,russia,,,
,greenland holdings group,china,,,
,rwe group,germany,,,
,daikin industries,japan,,,
,aegon,netherlands,,,
,baidu,china,,,
,ericsson,sweden,,,
,canon,japan,,,
,lennar,united states,,,
,bank of nanjing,china,,,
,philips,netherlands,,,
,keurig dr pepper,united states,,,
,china yangtze power,china,,,
,dnb bank,norway,,,
,emerson electric,united states,,,
,imperial brands,united kingdom,,,
,boeing,canada,,,
,general mills,united states,,,
,axis bank,india,,,
,national bank of canada,canada,,,
,the estée lauder companies,united states,,,
,cnh industrial,united kingdom,,,
,fairfax financial,canada,,,
,adidas,germany,,,
,michelin group,france,,,
,norfolk southern,united states,,,
,principal financial group,united states,,,
,sempra,united states,,,
,fortum,finland,,,
,grupo mexico,mexico,,,
,d.r. horton,united states,,,
,l3harris technologies,united states,,,
,naspers,south africa,,,
,standard bank group,south africa,,,
,tc energy,canada,,,
,norilsk nickel,russia,,,
,naturgy energy group,spain,,,
,waste management,canada,,,
,henkel,germany,,,
,mediatek,taiwan,,,
,recruit holdings,japan,,,
,hengli petrochemical,china,,,
,xcel energy,united states,,,
,corteva,united states,,,
,synchrony financial,united states,,,
,toyota tsusho,japan,,,
,toyota industries,japan,,,
,astrazeneca,united kingdom,,,
,sunac china holdings,china,,,
,china evergrande group,china,,,
,bridgestone,japan,,,
,emirates nbd,united arab emirates,,,
,daiwa house industry,japan,,,
,jd.com,china,,,
,kinder morgan,united states,,,
,china national building,china,,,
,fifth third bank,united states,,,
,firstrand,south africa,,,
,carrefour,france,,,
,fujitsu,japan,,,
,seb ab,sweden,,,
,surgutneftegas,russia,,,
,new china life insurance,china,,,
,barrick gold,canada,,,
,dsv panalpina,denmark,,,
,talanx,germany,,,
,vodafone,united kingdom,,,
,nintendo,japan,,,
,hana financial group,south korea,,,
,hyundai mobis,south korea,,,
,ntpc,india,,,
,maybank,malaysia,,,
,cme group,united states,,,
,taqa,united arab emirates,,,
,pernod ricard,france,,,
,bank mandiri,indonesia,,,
,femsa,mexico,,,
,paccar,united states,,,
,consolidated edison,united states,,,
,mitsui fudosan,japan,,,
,evergreen marine corp. (taiwan),taiwan,,,
,komatsu,japan,,,
,shaanxi coal industry,china,,,
,lenovo group,hong kong,,,
,fast retailing,japan,,,
,london stock exchange,united kingdom,,,
,vonovia,germany,,,
,aviva,united kingdom,,,
,sherwin-williams,united states,,,
,fujifilm holdings,japan,,,
,intuit,united states,,,
,lam research,united states,,,
,erste group bank,austria,,,
,lincoln national,united states,,,
,carrier global,united states,,,
,dish network,united states,,,
,china coal energy,china,,,
,continental,germany,,,
,vtb bank,russia,,,
,murata manufacturing,japan,,,
,larsen & toubro,india,,,
,ally financial,united states,,,
,netease,china,,,
,bank central asia,indonesia,,,
,volvo car,sweden,,,
,intact financial,canada,,,
,orsted,denmark,,,
,cummins,united states,,,
,williams,united states,,,
,capgemini,france,,,
,prologis,united states,,,
,thales,france,,,
,bouygues,france,,,
,banorte,mexico,,,
,ck asset holdings,hong kong,,,
,orange,france,,,
,kuehne & nagel international,switzerland,,,
,bunge,united states,,,
,samsung life insurance,south korea,,,
,vmware,united states,,,
,albertsons,united states,,,
,crrc,china,,,
,cbre group,united states,,,
,toshiba,japan,,,
,samsung c&t,south korea,,,
,infosys,india,,,
,prudential,united kingdom,,,
,yankuang energy group,china,,,
,canadian pacific railway,canada,,,
,loews,united states,,,
,tokyo electron,japan,,,
,lg electronics,south korea,,,
,csl,australia,,,
,magna international,canada,,,
,analog devices,united states,,,
,kubota,japan,,,
,air products & chemicals,united states,,,
,newmont mining,united states,,,
,te connectivity,switzerland,,,
,aon,ireland,,,
,telus,canada,,,
,dollar tree,united states,,,
,keycorp,united states,,,
,wtw,united kingdom,,,
,china zheshang bank,china,,,
,wesfarmers,australia,,,
,suzuki motor,japan,,,
,best buy,united states,,,
,svb financial group,united states,,,
,advanced micro devices,united states,,,
,markel,united states,,,
,muyuan foodstuff,china,,,
,kimberly-clark,united states,,,
,swedbank,sweden,,,
,cognizant,united states,,,
,corning,united states,,,
,infineon technologies,germany,,,
,citizens financial group,united states,,,
,devon energy,united states,,,
,asahi group holdings,japan,,,
,jsw steel,india,,,
,lumen technologies,united states,,,
,regions financial,united states,,,
,svenska handelsbanken,sweden,,,
,raymond james financial,united states,,,
,byd,china,,,
,illinois tool works,united states,,,
,pinduoduo,china,,,
,activision blizzard,united states,,,
,liberty global,united kingdom,,,
,colgate-palmolive,united states,,,
,sse,united kingdom,,,
,nan ya plastics,taiwan,,,
,vivendi,france,,,
,baxter international,united states,,,
,fosun international,china,,,
,weichai power,china,,,
,fidelity national financial,united states,,,
,parker-hannifin,united states,,,
,vedanta limited,india,,,
,woori financial group,south korea,,,
,sysco,united states,,,
,telstra,australia,,,
,credit suisse group,switzerland,,,
,rogers communications,canada,,,
,m&t bank,united states,,,
,boston scientific,united states,,,
,edison international,united states,,,
,financiere de l'odet,france,,,
,sumitomo mitsui trust,japan,,,
,entergy,united states,,,
,swisscom,switzerland,,,
,enbw-energie baden,germany,,,
,hikvision,china,,,
,nippon yusen,japan,,,
,stanley black & decker,united states,,,
,oneok,united states,,,
,marriott international,united states,,,
,warner bros. discovery,united states,,,
,s.f. holding,china,,,
,delta air lines,united states,,,
,bharat petroleum,india,,,
,halliburton,united states,,,
,metallurgical corp of china,china,,,
,northern trust,united states,,,
,heidelbergcement,germany,,,
,china steel,taiwan,,,
,eversource energy,united states,,,
,sany heavy industry,china,,,
,hermès international,france,,,
,international paper,united states,,,
,koç holding,turkey,,,
,nidec,japan,,,
,meituan,china,,,
,kotak mahindra bank,india,,,
,teck resources,canada,,,
,southwest airlines,united states,,,
,deutsche boerse,germany,,,
,labcorp,united states,,,
,china tower corp.,china,,,
,inpex,japan,,,
,coca-cola european partners,united kingdom,,,
,wuliangye yibin,china,,,
,shimao property holdings,hong kong,,,
,idemitsu kosan,japan,,,
,formosa petrochemical,taiwan,,,
,crown castle international,united states,,,
,firstenergy,united states,,,
,rongsheng petrochemical,china,,,
,hindalco industries,india,,,
,bank of hangzhou,china,,,
,renault,france,,,
,international holding company,united arab emirates,,,
,cincinnati financial,united states,,,
,mitsubishi estate,japan,,,
,cleveland-cliffs,united states,,,
,grupo acs,spain,,,
,cgn power,china,,,
,ase technology holding,taiwan,,,
,jfe holdings,japan,,,
,dte energy,united states,,,
,china hongqiao group,china,,,
,nxp semiconductors,netherlands,,,
,western digital,united states,,,
,booking holdings,united states,,,
,aeon,japan,,,
,first republic bank,united states,,,
,lufax holding,china,,,
,atlas copco,sweden,,,
,fidelity national information (fis),united states,,,
,mitsubishi chemical,japan,,,
,edp-energias de portugal,portugal,,,
,kyocera,japan,,,
,xiamen c&d,china,,,
,autozone,united states,,,
,china taiping insurance,hong kong,,,
,cenovus energy,canada,,,
,neste,finland,,,
,porsche automobil holding,germany,,,
,h&m - hennes & mauritz,sweden,,,
,relx,united kingdom,,,
,pg&e,united states,,,
,republic services,united states,,,
,ross stores,united states,,,
,wec energy group,united states,,,
,cardinal health,united states,,,
,carmax,united states,,,
